Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,3968,2,10,prefill,10.72871236659375,788.3756762049212,193.38139047689168,239.54921574294585
Llama2-13B,20,3968,4,5,prefill,11.975335591151786,1401.2179915867123,165.23168133185666,337.71298184034634
Llama2-13B,20,3968,5,4,prefill,12.82557582573214,1624.6465892753968,168.60481110016104,386.4128905074516
Llama2-13B,20,3968,10,2,prefill,15.645766338977678,2634.895362037932,146.14283990027465,498.6156918313436
Llama2-13B,20,3968,20,1,prefill,21.775548460651784,3737.314102379677,141.93857695541973,625.9540489828607
Llama2-13B,20,3968,40,1,prefill,39.42078816025894,4143.574169560605,135.71858790431898,630.4169340890363
Llama2-13B,20,4096,1,20,prefill,11.065036278142856,396.3363147749992,333.7599071923298,211.736691233416
Llama2-13B,20,4096,2,10,prefill,11.222295501,779.9469455571059,193.68018643893,237.075287019836
Llama2-13B,20,4096,4,5,prefill,12.516597668285714,1386.9904706768953,165.56446263655783,334.68962151859955
Llama2-13B,20,4096,5,4,prefill,13.392771949142857,1609.1375552453806,168.9297817675938,383.2935278049884
Llama2-13B,20,4096,10,2,prefill,16.31588081442857,2612.2461757238484,146.5252278221754,495.569414166347
Llama2-13B,20,4096,20,1,prefill,22.66728677228572,3710.23545450098,142.44091881132655,623.6767589706474
Llama2-13B,20,4096,40,1,prefill,41.064279205428576,4111.441216820385,136.17841972503226,627.9398246515727
Llama2-70B,32,128,1,32,prefill,0.6929258515000002,184.7239495003889,1772.5390334801666,586.0098101932605
Llama2-70B,32,128,2,16,prefill,0.725602239875,352.8103772724038,1091.338038088195,656.2702431165258
Llama2-70B,32,128,4,8,prefill,0.8235796090624999,621.676392137515,834.9598677487925,798.2178979080836
Llama2-70B,32,128,8,4,prefill,1.0497923555625,975.4309931618048,731.0200577078277,966.4527894920352
Llama2-70B,32,128,16,2,prefill,1.50510350434375,1360.703761627983,679.3110902759037,1108.4685422741
Llama2-70B,32,128,32,1,prefill,2.439100828265625,1679.3073711973395,659.4983912457378,1207.366677872115
Llama2-70B,32,128,80,1,prefill,7.013758462593749,1459.987545138981,648.719185007783,972.6508111547662
Llama2-70B,32,256,1,32,prefill,1.4163157030000002,180.8343245727576,1773.9935537199,571.0825770947183
